publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	own_anchor	all_issns	zdb_id
Acta Cytologica 	0001-5547	1938-2650	1996	40					http://www.karger.com/ACY		150346		Volltext		Karger	karger_complete	0001-5547;1938-2650	2256676-4
Acta Haematologica	0001-5792	1421-9662	1998	99					http://www.karger.com/aha		3005		Volltext		Karger	karger_complete	0001-5792;1421-9662	1481888-7
Aesthetics in Dermatology and Surgery	2504-0456	2504-107X	2017			2017	1		http://www.karger.com/Journal/Home/271955		252553		Volltext		Karger	karger_complete	2504-0456;2504-107X	2879719-X
American Journal of Nephrology	0250-8095	1421-9670	1998	18					http://www.karger.com/ajn		2186		Volltext		Karger	karger_complete	0250-8095;1421-9670	1468523-1
Analytische Psychologie (-2003) 	0301-3006	1421-9689	1998	29		2003	34		http://www.karger.com/aps		3891		Volltext		Karger	karger_complete	0301-3006;1421-9689	1481968-5
Annales Nestlé / Deutsche Ausgabe	0250-9652	1661-3740	2006	64		2008	66		http://www.karger.com/AND		58897		Volltext		Karger	karger_complete	0250-9652;1661-3740	2204701-3
Annales Nestlé / Ed. Española	0252-8185	1661-4003	2006	64		2010	68		http://www.karger.com/Journal/Home/231408		80946		Volltext		Karger	karger_complete	0252-8185;1661-4003	2242202-X
Annales Nestlé / Ed. Française	0250-9644	1661-3732	2006	64		2010	68		http://www.karger.com/ANF		80945		Volltext		Karger	karger_complete	0250-9644;1661-3732	2242209-2
Annales Nestlé / English Ed.	0517-8606	1661-4011	2006	64		2010	68		http://www.karger.com/ANE		80947		Volltext		Karger	karger_complete	0517-8606;1661-4011	2242238-9
Annals of Neurosciences (2016 -)	0972-7531	0976-3260	2016	23					http://www.karger.com/Journal/Home/271487		252618		Volltext		Karger	karger_complete	0972-7531;0976-3260	2576191-2
Annals of Nutrition and Metabolism (früher: Nutritio et Dieta; Nutrition and Metabolism)	0029-6678	1421-9697	1998	42					http://www.karger.com/anm		3006		Volltext		Karger	karger_complete	0029-6678;0250-6807;0550-4031;1421-9697	1481977-6
Audiology & Neurotology (formerly Audiology & Neuro-Otology)	1420-3030	1421-9700	1998	3					http://www.karger.com/aud		3007		Volltext		Karger	karger_complete	1420-3030;1421-9700	1481979-x
Blood Purification	0253-5068	1421-9735	1998	16					http://www.karger.com/bpu		3892		Volltext		Karger	karger_complete	0253-5068;1421-9735	1482025-0
Brain, Behavior and Evolution	0006-8977	1421-9743	1998	51					http://www.karger.com/bbe		3010		Volltext		Karger	karger_complete	0006-8977;1421-9743	1482032-8
Breast Care	1661-3791	1661-3805	2006	1					http://www.karger.com/brc		60195		Volltext		Karger	karger_complete	1661-3791;1661-3805	2205941-6
Cardiology (früher: Cardiologia)	0008-6312	1421-9751	1998	89					http://www.karger.com/crd		2888		Volltext		Karger	karger_complete	0008-6312;0366-5313;1421-9751	1482041-9
Cardiorenal Medicine	1664-3828	1664-5502	2011	1					http://www.karger.com/crm		151545		Volltext		Karger	karger_complete	1664-3828;1664-5502	2595659-0
Caries Research	0008-6568	1421-976X	1998	32					http://www.karger.com/cre		3011		Volltext		Karger	karger_complete	0008-6568;1421-976X	1482046-8
Cells Tissues Organs	0001-5180	1421-9654	1998	161					http://www.karger.com/cto		3893		Volltext		Karger	karger_complete	0001-5180;1422-6405;1421-9654;1422-6421	1481840-1
Cellular Physiology and Biochemistry (-2004)	1015-8987	1421-9778	1998	8		2004	14		http://www.karger.com/cpb		3012		Volltext		Karger	karger_complete	1015-8987;1421-9778	1482056-0
Cerebrovascular Diseases	1015-9770	1421-9786	1998	8					http://www.karger.com/ced		385		Volltext		Karger	karger_complete	1015-9770;1421-9786	1482069-9
Chemotherapy (formerly: Chemotherapia)	0009-3157	1421-9794	1998	44					http://www.karger.com/che		3013		Volltext		Karger	karger_complete	0009-3157;0366-7170;1421-9794	1482111-4
Complementary Medicine Research <Forschende Komplementärmedizin und Klassische Naturheilkunde Research in complementary and classical natural medicine>	1021-7096	1421-9999	1998	5					http://www.karger.com/fkm		2189		Volltext		Karger	karger_complete	1021-7096;1424-5485;1661-4119;2504-2092;1421-9999;1661-4127;2504-2106	2888724-4
ComPlexUs : Modelling and Understanding Functional Interactions in Life Sciences	1424-8492	1424-8506	2003	1		2006	3		http://www.karger.com/cpu		20115		Volltext		Karger	karger_complete	1424-8492;1424-8506	2061889-X
Current Urology (-2014)	1661-7649	1661-7657	2007	1		2014	8		http://www.karger.com/CUR		84966		Volltext		Karger	karger_complete	1661-7649;1661-7657	2260439-X
Cytogenetic and Genome Research 	0301-0171	1421-9816	1998	80					http://www.karger.com/cgr		20117		Volltext		Karger	karger_complete	0301-0171;1424-8581;1421-9816;1424-859X	2061918-2
Dementia and Geriatric Cognitive Disorders	1013-7424	1421-9824	1998	9					http://www.karger.com/dem		3896		Volltext		Karger	karger_complete	1013-7424;1420-8008;1421-9824	1482186-2
Dermatology (formerly: Dermatologica; Dermatologische Zeitschrift)	0011-9075	1421-9832	1998	196					http://www.karger.com/drm		3015		Volltext		Karger	karger_complete	0011-9075;1018-8665;1421-9832	1482189-8
Dermatology and Psychosomatics / Dermatologie und Psychosomatik	1422-9196	1424-0564	2000	1		2004	5		http://www.karger.com/dps		6785		Volltext		Karger	karger_complete	1422-9196;1424-0564	2022257-9
Developmental Neuroscience	0378-5866	1421-9859	1998	20					http://www.karger.com/dne		3897		Volltext		Karger	karger_complete	0378-5866;1421-9859	1482201-5
Digestion (früher: Archiv für Verdauungskrankheiten mit Einschluss der Stoffwechselpathologie und der Diätetik; Archiv für Verdauungs-Krankheiten, Stoffwechselpathologie und Diätetik; Gastroenterologia)	0012-2823	1421-9867	1998	59					http://www.karger.com/dig		2892		Volltext		Karger	karger_complete	0012-2823;0301-164X;0365-8228;0365-8325;1421-9867	1482218-0
Digestive Diseases (früher: Survey of Digestive Diseases)	0253-4398	1421-9875	1998	16					http://www.karger.com/ddi		3016		Volltext		Karger	karger_complete	0253-4398;0257-2753;1421-9875	1482221-0
Digestive Surgery	0253-4886	1421-9883	1998	15					http://www.karger.com/dsu		2187		Volltext		Karger	karger_complete	0253-4886;1421-9883	1468560-7
European Addiction Research	1022-6877	1421-9891	1998	4					http://www.karger.com/ear		3024		Volltext		Karger	karger_complete	1022-6877;1421-9891	1482231-3
European Neurology	0014-3022	1421-9913	1998	39					http://www.karger.com/ene		3025		Volltext		Karger	karger_complete	0014-3022;1421-9913	1482237-4
European Surgical Research	0014-312x	1421-9921	1998	30					http://www.karger.com/esr		2188		Volltext		Karger	karger_complete	0014-312x;1421-9921	1468505-x
European Thyroid Journal	2235-0640	2235-0802	2012	1					http://www.karger.com/etj		183850		Volltext		Karger	karger_complete	2235-0640;2235-0802	2659767-6
European Urology (1976-2001)	0302-2838	1421-993X	1998	33		2001	40		http://www.karger.com/eur		3026		Volltext		Karger	karger_complete	0302-2838;1421-993X;1873-7560	1482253-2
Exogenous Dermatology 	1424-4616	1424-4624	2002	1		2004	3		http://www.karger.com/exd		20123		Volltext		Karger	karger_complete	1424-4616;1424-4624	2061890-6
Experimental and Clinical Immunogenetics	0254-9670	1421-9948	1998	15		2001	18		http://www.karger.com/eci		3027		Volltext		Karger	karger_complete	0254-9670;1421-9948	1482283-0
Fetal Diagnosis and Therapy (formerly Fetal Therapy)	0257-2788	1421-9964	1998	13					http://www.karger.com/fdt		3029		Volltext		Karger	karger_complete	0257-2788;1015-3837;1421-9964	1482292-1
Folia Phoniatrica et Logopaedica (formerly Folia Phoniatrica)	0015-5705	1421-9972	1998	50					http://www.karger.com/fpl		3898		Volltext		Karger	karger_complete	0015-5705;1021-7762;1421-9972	1482295-7
Folia Primatologica	0015-5713	1421-9980	1998	69					http://www.karger.com/fpr		3899		Volltext		Karger	karger_complete	0015-5713;1421-9980	1482298-2
Gastrointestinal Tumors	2296-3774	2296-3766	2014	1					http://www.karger.com/GAT		201754		Volltext		Karger	karger_complete	2296-3774;2296-3766	2735769-7
Gerontology (Karger)	0016-898X	1423-0003	1998	44					http://www.karger.com/ger		3030		Volltext		Karger	karger_complete	0016-898X;0304-324X;1423-0003	1482689-6
Gynäkologisch-Geburtshilfliche Rundschau (formerly Gynäkologische Rundschau)	1018-8843	1423-0011	1998	38		2009	49		http://www.karger.com/ggr		3935		Volltext		Karger	karger_complete	1018-8843;1423-0011	1482693-8
Gynecologic and Obstetric Investigation (formerly: Monatsschrift für Geburtshilfe und Gynaekologie; Gynaecologia; Gynecologic Investigation)	0017-5986	1423-002X	1998	45					http://www.karger.com/goi		3934		Volltext		Karger	karger_complete	0017-5986;0367-5513;0368-9867;0378-7346;1423-002X	1482695-1
Heart Drug	1422-9528	1424-0556	2001	1		2005	5		http://www.karger.com/hed		6783		Volltext		Karger	karger_complete	1422-9528;1424-0556	2022258-0
Hormone Research in Paediatrics 	0018-5051	1423-0046	1998	49					http://www.karger.com/hrp		3031		Volltext		Karger	karger_complete	0018-5051;0301-0163;1663-2818;1423-0046;1663-2826	2540224-9
Human Development	0018-716X	1423-0054	1998	41					http://www.karger.com/hde		2170		Volltext		Karger	karger_complete	0018-716X;0375-4774;1423-0054	1472161-2
Human Heredity (formerly Acta Genetica et Statistica Medica)	0001-5652	1423-0062	1998	48					http://www.karger.com/hhe		3032		Volltext		Karger	karger_complete	0001-5652;0365-2785;1423-0062	1482710-4
Indoor and Built Environment (formerly: Indoor Environment) 	1420-326X	1423-0070	1998	7		2002	11		http://www.karger.com/ibe		37710		Volltext		Sage Publications ; HighWire Press ; formerly Karger	karger_complete	1420-326X;1423-0070	1482713-x
Inflammatory Intestinal Diseases	2296-9403	2296-9365	2016	1					http://www.karger.com/IID		243146		Volltext		Karger	karger_complete	2296-9403;2296-9365	2817967-5
International Archives of Allergy and Immunology 	0020-5915	1423-0097	1998	115					http://www.karger.com/iaa		3035		Volltext		Karger	karger_complete	0020-5915;1018-2438;1423-0097	1482722-0
Interventional Neurology 	1664-9737	1664-5545	2012	1					http://www.karger.com/INE		184221		Volltext		Karger	karger_complete	1664-9737;1664-5545	2662855-7
Intervirology	0300-5526	1423-0100	1998	41					http://www.karger.com/int		3932		Volltext		Karger	karger_complete	0300-5526;1423-0100	1482863-7
Invasion and Metastasis 	0251-1789	1423-0119	1998	18	1	1999	18	6	http://www.karger.com/iam		3931		Volltext		Karger	karger_complete	0251-1789;1423-0119	1482868-6
Journal of Biomedical Science (1993-2008)	1021-7770	1423-0127	1998	5		2004	11		http://www.karger.com/jbs		53421		Volltext		Springer ; formerly Karger	karger_complete	1021-7770;1423-0127	1482918-6
Journal of Innate Immunity	1662-811X	1662-8128	2009	1					http://www.karger.com/JIN		110168		Volltext		Karger	karger_complete	1662-811X;1662-8128	2455818-7
Journal of Molecular Microbiology and Biotechnology (2003-)	1464-1801	1660-2412	2003	5					http://www.karger.com/mmb		31683		Volltext		Karger	karger_complete	1464-1801;1660-2412	2052063-3
Journal of Vascular Research 	0003-3189	1423-0135	1998	35					http://www.karger.com/jvr		3930		Volltext		Karger	karger_complete	0003-3189;0303-6847;1018-1172;1423-0135	1482726-8
Karger Kompass Dermatologie	2296-5424	2296-536X	2013	1					http://www.karger.com/Journal/Home/261191		203079		Volltext		Karger	karger_complete	2296-5424;2296-536X	2741387-1
Karger Kompass Onkologie	2296-5416	2296-5386	2014	1					http://www.karger.com/Journal/Home/261192		211151		Volltext		Karger	karger_complete	2296-5416;2296-5386	2754730-9
Karger Kompass Ophthalmologie	2297-0118	2297-0045	2015	1					http://www.karger.com/KOP		237052		Volltext		Karger	karger_complete	2297-0118;2297-0045	2834706-7
Karger Kompass Pneumologie	2296-0368	2296-0317	2013	1					http://www.karger.com/Journal/Home/257333		199096		Volltext		Karger	karger_complete	2296-0368;2296-0317	2724124-5
Kidney and Blood Pressure Research (-2009)	0378-5858	1423-0143	1998	21		2009	32		http://www.karger.com/kbr		3929		Volltext		Karger	karger_complete	0378-5858;1011-6524;1420-4096;1423-0143	1482922-8
Kidney Diseases	2296-9381	2296-9357	2015	1					http://www.karger.com/KDD		228349		Volltext		Karger	karger_complete	2296-9381;2296-9357	2817963-8
Lifestyle genomics	1661-6499	1661-6758	2007	1					http://www.karger.com/JNN		85079		Volltext		Karger	karger_complete	1661-6499;1661-6758	2908437-4
Liver Cancer 	2235-1795	1664-5553	2012	1					http://www.karger.com/LIC		184796		Volltext		Karger	karger_complete	2235-1795;1664-5553	2666925-0
Mineral and Electrolyte Metabolism 	0378-0392	1423-016X	1998	24		1999	25		http://www.karger.com/mem		3038		Volltext		Karger	karger_complete	0378-0392;1423-016X	1482979-4
Molecular Neuropsychiatry 	2296-9209	2296-9179	2015	1					http://www.karger.com/MNP		227747		Volltext		Karger	karger_complete	2296-9209;2296-9179	2806946-8
Molecular Syndromology	1661-8769	1661-8777	2010	1					http://www.karger.com/MSY		133386		Volltext		Karger	karger_complete	1661-8769;1661-8777	2546218-0
Natural Immunity 	1018-8916	1423-0178	1998	16	1	1998	16	6	http://www.karger.com/nam		3928		Volltext		Karger	karger_complete	1018-8916;1423-0178	1482989-7
Neonatology	0006-3126	1421-9727	1998	73					http://www.karger.com/NEO		3009		Volltext		Karger	karger_complete	0006-3126;0523-6525;1661-7800;1421-9727;1661-7819	2403535-X
Nephron (-2002)	0028-2766	1423-0186	1998	78		2002	92		http://www.karger.com/nef		2190		Volltext		Karger	karger_complete	0028-2766;1423-0186	1464421-6
Nephron (2015-)	1660-8151	2235-3186	2015	129					http://www.karger.com/nef		228419		Volltext		Karger	karger_complete	1660-8151;2235-3186	2810853-X
Nephron Clinical Practice	0028-2766	1660-2110	2003	93		2014	128		http://www.karger.com/NEC		31679		Volltext		Karger	karger_complete	0028-2766;1660-2110	2098336-0
Nephron Experimental Nephrology 	0028-2766	1421-9956	1998	6		2014	128		http://www.karger.com/NEE		31680		Volltext		Karger	karger_complete	0028-2766;1018-7782;1421-9956;1660-2129	2098337-2
Nephron Physiology	0028-2766	1660-2137	2003	93		2014	128		http://www.karger.com/NEP		31681		Volltext		Karger	karger_complete	0028-2766;1660-2137	2098340-2
Neurodegenerative Diseases	1660-2854	1660-2862	2004	1					http://www.karger.com/NDD		39165		Volltext		Karger	karger_complete	1660-2854;1660-2862	2126858-7
Neuroembryology and Aging 	1424-8522	1424-8530	2002	1		2008	5		http://www.karger.com/nba		18987		Volltext		Karger	karger_complete	1424-8522;1661-3406;1424-8530;1661-3414	2206059-5
Neuroendocrinology	0028-3835	1423-0194	1998	67					http://www.karger.com/nen		3042		Volltext		Karger	karger_complete	0028-3835;1423-0194	1483028-0
Neuroepidemiology	0251-5350	1423-0208	1998	17					http://www.karger.com/ned		3043		Volltext		Karger	karger_complete	0251-5350;1423-0208	1483032-2
NeuroImmunoModulation	1021-7401	1423-0216	1998	5					http://www.karger.com/nim		3927		Volltext		Karger	karger_complete	1021-7401;1423-0216	1483035-8
Neuropsychobiology	0302-282X	1423-0224	1998	37					http://www.karger.com/nps		3044		Volltext		Karger	karger_complete	0302-282X;1423-0224	1483094-2
Neurosignals (-2003)	1422-4933	1422-4992	1998	7		2003	12		http://www.karger.com/nsg		19980		Volltext		Karger	karger_complete	1422-4933;1424-862x;1422-4992;1424-8638	2061922-4
Ocular Oncology and Pathology 	2296-4681	2296-4657	2015	1					http://www.karger.com/OOP		227748		Volltext		Karger	karger_complete	2296-4681;2296-4657	2806965-1
Oncology	0030-2414	1423-0232	1998	55					http://www.karger.com/ocl		2894		Volltext		Karger	karger_complete	0030-2414;0369-7606;1423-0232	1483096-6
Oncology Research and Treatment	0378-584X	1423-0240	1998	21					http://www.karger.com/ort		3046		Volltext		Karger	karger_complete	0378-584X;2296-5270;1423-0240;2296-5262	2749752-5
Ophthalmic Research	0030-3747	1423-0259	1998	30					http://www.karger.com/ore		3047		Volltext		Karger	karger_complete	0030-3747;1423-0259	1483177-6
Ophthalmologica (früher: Zeitschrift für Augenheilkunde)	0030-3755	1423-0267	1998	212					http://www.karger.com/oph		3048		Volltext		Karger	karger_complete	0030-3755;0372-834X;1423-0267	1483531-9
ORL (formerly Practica Oto-Rhino-Laryngologica)	0032-6305	1423-0275	1998	60					http://www.karger.com/orl		3045		Volltext		Karger	karger_complete	0032-6305;0301-1569;1423-0275	1483533-2
Oto-Rhino-Laryngologia Nova	1014-8221	1423-0283	1998	8		2003	12		http://www.karger.com/orn		3926		Volltext		Karger	karger_complete	1014-8221;1423-0283	1483536-8
Pancreatology	1424-3903	1424-3911	2001	1		2011	11		http://www.karger.com/pan		10008		Volltext		Elsevier ; formerly Karger	karger_complete	1424-3903;1424-3911	2043694-4
Pathobiology (formerly Experimental Cell Biology; Pathologia et Microbiologia; Schweizerische Zeitschrift für allgemeine Pathologie und Bakteriologie)	0031-2959	1423-0291	1998	66					http://www.karger.com/pat		3049		Volltext		Karger	karger_complete	0031-2959;0304-3568;0371-487X;1015-2008;1423-0291	1483541-1
Pathophysiology of Haemostasis and Thrombosis 	0301-0147	1423-0038	1998	28		2010	37		http://www.karger.com/pht		20127		Volltext		Karger	karger_complete	0301-0147;1424-8832;1423-0038;1424-8840	2081182-2
Pediatric Neurosurgery	0255-7975	1423-0305	1998	28					http://www.karger.com/pne		3925		Volltext		Karger	karger_complete	0255-7975;0302-2803;1016-2291;1423-0305	1483546-0
Pharmacology (formerly Medicina et Pharmacologia Experimentalis; Medicina Experimentalis)	0031-7012	1423-0313	1998	56					http://www.karger.com/pha		3050		Volltext		Karger	karger_complete	0031-7012;0258-2589;0543-3002;0543-3010;1423-0313	1483550-2
Phonetica	0031-8388	1423-0321	1998	55					http://www.karger.com/pho		3924		Volltext		Karger	karger_complete	0031-8388;1423-0321	1483552-6
Psychopathology (formerly: Psychiatria Clinica = Psychiatria et Neurologia / A)	0033-264X	1423-033X	1998	31					http://www.karger.com/psp		3051		Volltext		Karger	karger_complete	0033-264X;0254-4962;1423-033X	1483565-4
Psychotherapy and Psychosomatics (formerly: Acta Psychotherapeutica et Psychosomatica; Acta Psychotherapeutica, Psychosomatica et Orthopaedagogica)	0033-3190	1423-0348	1998	67					http://www.karger.com/pps		2312		Volltext		Karger	karger_complete	0033-3190;0365-5822;1423-0348	1472321-9
Public Health Genomics	1422-2795	1422-2833	1998	1					http://www.karger.com/PHG		110171		Volltext		Karger	karger_complete	1422-2795;1662-4246;1422-2833;1662-8063	2457026-6
Pulse 	2235-8676	2235-8668	2013	1					http://www.karger.com/PLS		195611		Volltext		Karger	karger_complete	2235-8676;2235-8668	2707138-8
Respiration : International Journal of Thoracic Diseases (früher: Schweizerische Zeitschrift für Tuberkulose (und Pneumologie); Medicina thoracalis)	0025-7931	1423-0356	1998	65					https://www.karger.com/Journal/Home/224278		2310		Volltext		Karger	karger_complete	0025-7931;0368-9220;1423-0356	1464419-8
Sexual Development	1661-5425	1661-5433	2007	1					http://www.karger.com/SXD		85085		Volltext		Karger	karger_complete	1661-5425;1661-5433	2261528-3
Skin Appendage Disorders 	2296-9195	2296-9160	2015	1					http://www.karger.com/SAD		227749		Volltext		Karger	karger_complete	2296-9195;2296-9160	2806972-9
Skin Pharmacology and Physiology (Formerly Skin Pharmacology and Applied Skin Physiology; Skin Pharmacology)	1011-0283	1422-2906	1998	11					http://www.karger.com/spp		3052		Volltext		Karger	karger_complete	1011-0283;1422-2868;1660-5527;1422-2906;1660-5535	1483572-1
Stereotactic and Functional Neurosurgery (formerly: Applied Neurophysiology; Confinia Neurologica)	0010-5678	1423-0372	1998	70					http://www.karger.com/sfn		3923		Volltext		Karger	karger_complete	0010-5678;0379-2676;1011-6125;1423-0372	1483576-9
Transfusion Medicine and Hemotherapy 	0378-0791	1660-3818	1998	25					http://www.karger.com/tmh		33234		Volltext		Karger	karger_complete	0378-0791;1011-6966;1019-8466;1660-3796;1660-3818	2100533-3
Tumor Biology (1987-2009)	1010-4283	1423-0380	1998	19		2009	30		http://www.karger.com/tbi		3053		Volltext		Karger	karger_complete	1010-4283;1423-0380	1483579-4
Urologia Internationalis	0042-1138	1423-0399	1998	60					http://www.karger.com/uin		2311		Volltext		Karger	karger_complete	0042-1138;1423-0399	1464417-4
Verhaltenstherapie : Praxis, Forschung, Perspektiven	1016-6262	1423-0402	1998	8					http://www.karger.com/ver		3054		Volltext		Karger	karger_complete	1016-6262;1423-0402	1483583-6
Visceral Medicine	0177-9990	1421-9808	1998	14					http://www.karger.com/cga		3894		Volltext		Karger	karger_complete	0177-9990;1662-6664;2297-4725;1421-9808;1662-6672;2297-475X	2850734-4
Vox Sanguinis	0042-9007	1423-0410	1998	74		2000	79		http://www.karger.com/vox		10159		Volltext		Wiley-Blackwell - STM ; formerly Karger	karger_complete	0042-9007;1423-0410	1483587-3
